"name","pointx_class","lat","lon","poi_class","Bus stop","Railway stations","Taxi rank","Underground entrance","id"
"Bus Stop (West Hatch School)",10590732,51.6114678855241,0.0642461370508434,"Bus stop",1,0,0,0,199
"Bus Stop (St Winifreds Church)",10590732,51.6109710796973,0.0826967166341225,"Bus stop",1,0,0,0,200
"Bus Stop (The Maypole)",10590732,51.6198667100962,0.114279111938514,"Bus stop",1,0,0,0,201
"Bus Stop (The Maypole)",10590732,51.6198204843193,0.114349194664755,"Bus stop",1,0,0,0,202
"Bus Stop (Sedley Rise)",10590732,51.655742150915,0.0665899771227154,"Bus stop",1,0,0,0,203
"Bus Stop (Sedley Rise)",10590732,51.6558599777659,0.0665375068903912,"Bus stop",1,0,0,0,204
"Bus Stop (River Way)",10590732,51.6408803231869,0.0689781573771552,"Bus stop",1,0,0,0,205
"Bus Stop (River Way)",10590732,51.6407318979818,0.0687257020822021,"Bus stop",1,0,0,0,206
"Bus Stop (Durnell Way)",10590732,51.6489109148082,0.0710061937645099,"Bus stop",1,0,0,0,207
"Bus Stop (Durnell Way)",10590732,51.6486313496311,0.0710512727176396,"Bus stop",1,0,0,0,208
"Bus Stop (Parkmead)",10590732,51.6430564624146,0.070002257447597,"Bus stop",1,0,0,0,209
"Bus Stop (The Murray Hall)",10590732,51.6482901003069,0.0725535221034114,"Bus stop",1,0,0,0,210
"Bus Stop (The Murray Hall)",10590732,51.6481066281485,0.0732679142080708,"Bus stop",1,0,0,0,211
"Bus Stop (The Crown)",10590732,51.6442009408425,0.0524494782555142,"Bus stop",1,0,0,0,212
"Bus Stop (Traps Hill)",10590732,51.6491188675425,0.0566179742481837,"Bus stop",1,0,0,0,213
"Bus Stop (Hutson Terrace)",10590732,51.47839546104,0.257838432094477,"Bus stop",1,0,0,0,214
"Bus Stop (Stonehouse Corner)",10590732,51.4780354687377,0.261118648764844,"Bus stop",1,0,0,0,215
"Bus Stop (Stonehouse Corner)",10590732,51.4781955244732,0.261212976589905,"Bus stop",1,0,0,0,216
"Bus Stop (Stonehouse Lane)",10590732,51.4839480165301,0.262304182403072,"Bus stop",1,0,0,0,217
"Bus Stop (Stonehouse Lane)",10590732,51.4843901994901,0.262225244858662,"Bus stop",1,0,0,0,218
"Bus Stop (Marlow Avenue)",10590732,51.4882500049086,0.233520031285121,"Bus stop",1,0,0,0,219
"Bus Stop (Saladin Drive)",10590732,51.4860405069107,0.231957218400691,"Bus stop",1,0,0,0,220
"Bus Stop (Marlow Avenue)",10590732,51.4871473607147,0.233336497206585,"Bus stop",1,0,0,0,221
"Bus Stop (War Memorial)",10590732,51.4828994364981,0.231616581731469,"Bus stop",1,0,0,0,222
"Bus Stop (War Memorial)",10590732,51.4826840784365,0.231591663430456,"Bus stop",1,0,0,0,223
