"name","pointx_class","lat","lon","poi_class","Entertainment","Gambling","Sports","id"
"Tennis Court",4240305,51.5808932347549,-0.501540026727805,"Sports",0,0,1,6614
"Sports Facility",4240293,51.6131464063443,-0.420506603817791,"Sports",0,0,1,6615
"Tennis Court",4240305,51.5835142927555,-0.506115886411485,"Sports",0,0,1,6616
"Tennis Court",4240305,51.6108680881123,-0.480897236961152,"Sports",0,0,1,6617
"Tennis Court",4240305,51.5257688842118,-0.513325632960621,"Sports",0,0,1,6618
"Tennis Court",4240305,51.5221700662092,-0.50679785638756,"Sports",0,0,1,6619
"Tennis Courts",4240305,51.66336534654,-0.515521186567829,"Sports",0,0,1,6620
"Tennis Court",4240305,51.6401682771041,-0.107345889521839,"Sports",0,0,1,6621
"Tennis Court",4240305,51.6229177761317,-0.119462364037716,"Sports",0,0,1,6622
"Tennis Court",4240305,51.6233739290969,-0.118186617561064,"Sports",0,0,1,6623
"Tennis Court",4240305,51.4912009990267,-0.249303533793217,"Sports",0,0,1,6624
"Tennis Court",4240305,51.5014190577127,-0.288476569522436,"Sports",0,0,1,6625
"Tennis Court",4240305,51.5199501223146,-0.284019939578942,"Sports",0,0,1,6626
"Tennis Court",4240305,51.5832314652556,-0.136762457801322,"Sports",0,0,1,6627
"Tennis Court",4240305,51.5651948354937,-0.154539900588502,"Sports",0,0,1,6628
"Tennis Court",4240305,51.3501263706686,-0.453792751914913,"Sports",0,0,1,6629
"Tennis Court",4240305,51.3474479866257,-0.439652706002544,"Sports",0,0,1,6630
"Tennis Court",4240305,51.3293226126109,-0.386800043670379,"Sports",0,0,1,6631
"Tennis Court",4240305,51.6260077066955,-0.0122756075934812,"Sports",0,0,1,6632
"Tennis Court",4240305,51.607673867822,0.018176408810959,"Sports",0,0,1,6633
"Tennis Court",4240305,51.525420683053,-0.118840181804123,"Sports",0,0,1,6634
"Tennis Court",4240305,51.3408971601467,-0.213973247379445,"Sports",0,0,1,6635
"Tennis Court",4240305,51.6287921695937,-0.349224793161622,"Sports",0,0,1,6636
"Tennis Court",4240305,51.6452224623071,-0.236164640615151,"Sports",0,0,1,6637
"Tennis Court",4240305,51.6136332157583,-0.235598457992452,"Sports",0,0,1,6638
"Tennis Court",4240305,51.6266745071419,-0.314728463759792,"Sports",0,0,1,6639
"Tennis Court",4240305,51.6259707615468,-0.323986450067654,"Sports",0,0,1,6640
"Tennis Court",4240305,51.614073857356,-0.407951898098282,"Sports",0,0,1,6641
"Tennis Court",4240305,51.6054943184291,-0.484643428005155,"Sports",0,0,1,6642
"Holland Park Tennis Ground",4240305,51.50512381766,-0.21015301851626,"Sports",0,0,1,6643
"Sports Facility",4240293,51.4781069573116,0.0281201111433117,"Sports",0,0,1,6644
"Tennis Court",4240305,51.3373754514735,-0.478541255286721,"Sports",0,0,1,6645
"Tennis Court",4240305,51.3023919897425,-0.303579260285787,"Sports",0,0,1,6646
"Tennis Court",4240305,51.5534104204745,-0.541258484208534,"Sports",0,0,1,6647
"Tennis Court",4240305,51.5815955807401,-0.205475612697288,"Sports",0,0,1,6648
"The Whitehall Lawn Tennis Club",4240305,51.6270297219006,0.0137616708214532,"Sports",0,0,1,6649
"Claybury Park Tennis Club",4240305,51.5837214062758,0.0573154353092196,"Sports",0,0,1,6650
"Tennis Court",4240305,51.4533235508223,-0.181867975415418,"Sports",0,0,1,6651
"Tennis Court",4240305,51.3232984965786,-0.168557419898715,"Sports",0,0,1,6652
"Tennis Courts",4240305,51.5868217225953,-0.158557245153848,"Sports",0,0,1,6653
"Tennis Court",4240305,51.4953837706096,-0.160674304140337,"Sports",0,0,1,6654
"Tennis Court",4240305,51.3653314526776,-0.537761006747854,"Sports",0,0,1,6655
"Tennis Court",4240305,51.3862675344632,-0.544423286167307,"Sports",0,0,1,6656
